NO_OF_FRAMES	3915
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:17:45.381	3507.33998200
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
93	0.92000	571.88441	185.34886	287.68958	0.44625	-0.27180	51.52160	0.21787	0.62221	0.78280	0.00905	-0.78283	0.62223	0.00113	-0.00474	-0.00779	0.99996	
94	0.93000	571.83687	185.34107	287.68135	0.43890	-0.26303	51.67855	0.21298	0.62007	0.78450	0.00886	-0.78454	0.62008	0.00115	-0.00459	-0.00766	0.99996	
95	0.94000	571.82062	185.40400	287.66385	0.43833	-0.26138	51.84507	0.21245	0.61778	0.78630	0.00883	-0.78633	0.61780	0.00114	-0.00456	-0.00765	0.99996	
96	0.95000	571.78864	185.46583	287.69626	0.43890	-0.25476	52.00613	0.22284	0.61557	0.78803	0.00877	-0.78807	0.61559	0.00121	-0.00445	-0.00766	0.99996	
97	0.96000	571.78452	185.50684	287.71553	0.44182	-0.26127	52.17245	0.24291	0.61328	0.78982	0.00889	-0.78985	0.61330	0.00113	-0.00456	-0.00771	0.99996	
98	0.97000	571.76465	185.50698	287.69905	0.44323	-0.26218	52.33867	0.24025	0.61099	0.79159	0.00892	-0.79163	0.61100	0.00110	-0.00458	-0.00774	0.99996	
99	0.98000	571.74391	185.54282	287.69392	0.44691	-0.26772	52.49621	0.24554	0.60881	0.79327	0.00903	-0.79330	0.60882	0.00104	-0.00467	-0.00780	0.99996	
100	0.99000	571.75395	185.60325	287.68484	0.43927	-0.26964	52.65979	0.24233	0.60654	0.79500	0.00895	-0.79504	0.60656	0.00091	-0.00471	-0.00767	0.99996	
101	1.00000	571.73216	185.62238	287.71686	0.44516	-0.27001	52.83300	0.24845	0.60413	0.79683	0.00904	-0.79687	0.60415	0.00094	-0.00471	-0.00777	0.99996	
102	1.01000	571.70535	185.63028	287.73659	0.44262	-0.26434	53.01539	0.26068	0.60159	0.79875	0.00895	-0.79879	0.60161	0.00096	-0.00461	-0.00772	0.99996	
103	1.02000	571.65003	185.63329	287.72867	0.43792	-0.26084	53.18085	0.26081	0.59929	0.80049	0.00885	-0.80052	0.59930	0.00094	-0.00455	-0.00764	0.99996	
104	1.03000	571.63762	185.66956	287.70789	0.44228	-0.26277	53.34860	0.25612	0.59694	0.80224	0.00893	-0.80227	0.59696	0.00093	-0.00459	-0.00772	0.99996	
105	1.04000	571.62593	185.69723	287.72203	0.45016	-0.26098	53.51818	0.25717	0.59456	0.80400	0.00903	-0.80404	0.59458	0.00101	-0.00455	-0.00786	0.99996	
106	1.05000	571.62944	185.72944	287.72596	0.44414	-0.26459	53.69686	0.24979	0.59205	0.80585	0.00898	-0.80589	0.59207	0.00087	-0.00462	-0.00775	0.99996	
